account_id,customer_age,days_dormant,account_status,account_label
ACC_N1717,150,23,Active,Normal
ACC_N1029,54,4,Active,Normal
ACC_A0332,57,426,active,Legitimate_Awakening
ACC_N2761,39,19,ACTIVE,Normal
ACC_N3347,23,25,Inactive,Normal
ACC_N2158,60,19,ACTIVE,Normal
ACC_A0367,60,502,Active,Legitimate_Awakening
ACC_N1513,35,2,Active,Normal
ACC_N0761,53,29, aCtive ,Normal
ACC_N0653,48,22,Active,Normal
ACC_N0038,41,0,Inactive,Normal
ACC_N0304,46,5,Active,Normal
ACC_M038,26,790,ACTIVE,Dormant_Mule
ACC_N3173,49,4,ACTIVE,Normal
ACC_N1108,41,7,Active,Normal
ACC_N2768,25,6,ACTIVE,Normal
ACC_N0917,28,10, aCtive ,Normal
ACC_N3030,30,25,ACTIVE,Normal
ACC_N3307,47,28,INACTIVE,Normal
ACC_N2983,20,27,active,Normal
ACC_N3336,18,11,Active,Normal
ACC_N1447,49,23,ACTIVE,Normal
ACC_N3435,23,26,inactive,Normal
ACC_N2524,41,7, aCtive ,Normal
ACC_N1089,30,8,active,Normal
ACC_N1878,23,28,active,Normal
ACC_N1546,38,16,ACTIVE,Normal
ACC_N0783,42,15,ACTIVE,Normal
ACC_N2095,20,13,active,Normal
ACC_N1475,19,6,Active,Normal
ACC_N2779,34,29,Active,Normal
ACC_N2888,62,26, aCtive ,Normal
ACC_N2905,20,14,Active,Normal
ACC_A0287,24,346,active,Legitimate_Awakening
ACC_N0093,60,13,active,Normal
ACC_A0285,46,518,active,Legitimate_Awakening
ACC_N0094,56,21,Active,Normal
ACC_A0210,52,405, aCtive ,Legitimate_Awakening
ACC_N1372,22,26,Active,Normal
ACC_A0278,20,499, aCtive ,Legitimate_Awakening
ACC_N0448,38,23,Active,Normal
ACC_N3317,30,5,active,Normal
ACC_N1490,60,29,active,Normal
ACC_N1338,54,24,inactive,Normal
ACC_N2537,32,18,ACTIVE,Normal
ACC_N2016,42,5,Active,Normal
ACC_A0394,57,622,Active,Legitimate_Awakening
ACC_N2749,40,11,ACTIVE,Normal
ACC_N2472,59,13,active,Normal
ACC_N1639,35,8,Active,Normal
ACC_N2090,33,9,ACTIVE,Normal
ACC_N1961,31,27,Active,Normal
ACC_N0794,59,21, aCtive ,Normal
ACC_N2305,19,5,INACTIVE,Normal
ACC_N2525,20,18,INACTIVE,Normal
ACC_N2591,32,25,active,Normal
ACC_M010,53,443,ACTIVE,Dormant_Mule
ACC_N0633,39,4,INACTIVE,Normal
ACC_N2928,49,25,active,Normal
ACC_N0724,48,11,ACTIVE,Normal
ACC_A0002,45,510,active,Legitimate_Awakening
ACC_N0671,53,8,Active,Normal
ACC_N1485,31,13,ACTIVE,Normal
ACC_N3235,45,29,ACTIVE,Normal
