days_dormant,incoming_amount_thb,outflow_ratio_24h,dwell_time_mins,label,account_id
2,843.52,0.218,495.9,Normal,ACC005033
13,6846.65,0.434,1066.3,Normal,ACC003754
16,7106.62,0.188,676.2,Normal,ACC002766
29,17133.76,0.503,294.5,Normal,ACC002964
0,12474.77,0.366,241.2,Normal,ACC002809
25,14448.79,0.234,536.7,Normal,ACC001585
14,13784.48,0.423,1059.3,Normal,ACC003657
9,7324.79,0.215,819.7,Normal,ACC008802
12,19416.74,0.58,411.9,Normal,ACC007736
16,808.51,0.271,1200.7,Normal,ACC000451
932,451559.47,0.986,28.9,Dormant_Mule,ACC009969
0,16475.0,0.14,1249.2,Normal,ACC003082
6,17069.01,0.499,785.0,Normal,ACC008111
24,14898.65,0.552,430.6,Normal,ACC006351
25,9995.91,0.574,808.9,Normal,ACC008414
3,14245.8,0.439,928.0,Normal,ACC004457
197,59498.14,0.4,474.3,Legitimate_Awakening,ACC008987
11,1012.55,0.325,1121.3,Normal,ACC004682
24,2477.46,0.166,304.4,Normal,ACC005818
16,9638.71,0.569,365.3,Normal,ACC002403
11,1844.19,0.532,496.8,Normal,ACC004367
1,17492.57,0.436,1171.6,Normal,ACC000849
27,2570.13,0.519,436.6,Normal,ACC001438
28,2131.31,0.369,968.2,Normal,ACC007168
5,16922.41,0.248,1304.3,Normal,ACC008403
19,11204.78,0.522,1382.0,Normal,ACC006203
26,18887.83,0.299,423.3,Normal,ACC007385
11,18576.74,0.299,541.2,Normal,ACC004347
453,59142.04,0.636,1449.6,Legitimate_Awakening,ACC009025
3,14673.36,0.492,1432.6,Normal,ACC001166
18,15871.31,0.557,523.9,Normal,ACC008245
879,362267.41,0.969,11.5,Dormant_Mule,ACC009896
0,9900.62,0.122,861.8,Normal,ACC005816
20,15886.29,0.275,654.1,Normal,ACC002133
21,14591.62,0.261,1076.5,Normal,ACC003043
19,13306.09,0.318,1162.7,Normal,ACC003346
9,14176.76,0.238,427.4,Normal,ACC007698
7,16059.96,0.386,1421.7,Normal,ACC005208
21,6140.8,0.131,1252.7,Normal,ACC005672
15,2195.04,0.417,1091.4,Normal,ACC000254
525,51517.1,0.558,2356.9,Legitimate_Awakening,ACC009053
0,18331.61,0.52,1238.9,Normal,ACC002152
8,12628.05,0.583,610.5,Normal,ACC005511
19,3194.03,0.286,1340.3,Normal,ACC006211
18,11506.6,0.196,399.5,Normal,ACC000485
18,13379.15,0.52,745.6,Normal,ACC008246
11,2357.42,0.16,1153.7,Normal,ACC003264
18,6538.77,0.249,523.7,Normal,ACC003923
29,8064.03,0.419,1364.7,Normal,ACC003912
17,12268.27,0.427,398.0,Normal,ACC007236
22,6318.62,0.121,163.0,Normal,ACC004486
6,2939.03,0.121,491.6,Normal,ACC002555
4,3408.13,0.515,1224.2,Normal,ACC004071
29,1844.34,0.457,152.2,Normal,ACC006896
22,15986.56,0.413,1357.7,Normal,ACC001511
27,11614.66,0.267,131.7,Normal,ACC002989
16,8586.46,0.162,674.3,Normal,ACC004208
484,142198.97,0.965,31.2,Dormant_Mule,ACC009980
26,8117.49,0.336,1245.6,Normal,ACC004557
3,3744.07,0.174,535.7,Normal,ACC005162
11,5902.68,0.207,1327.6,Normal,ACC006507
497,22506.92,0.605,865.4,Legitimate_Awakening,ACC009791
23,7851.28,0.153,380.9,Normal,ACC008592
13,7315.69,0.258,1164.6,Normal,ACC001634
2,3390.54,0.387,603.8,Normal,ACC008080
14,18016.26,0.324,184.1,Normal,ACC005396
29,11094.22,0.514,478.8,Normal,ACC005429
9,5485.02,0.249,1134.5,Normal,ACC003901
3,14022.89,0.117,817.5,Normal,ACC008842
8,8792.38,0.307,521.6,Normal,ACC007543
324,52298.78,0.513,476.6,Legitimate_Awakening,ACC009485
18,10492.92,0.471,1042.5,Normal,ACC000262
29,2686.33,0.426,924.5,Normal,ACC006186
18,1112.87,0.418,534.9,Normal,ACC000029
26,1266.59,0.5,948.8,Normal,ACC000173
2,11433.23,0.414,1029.0,Normal,ACC000925
14,1668.89,0.165,919.9,Normal,ACC001156
22,12439.38,0.108,377.1,Normal,ACC001258
218,52208.97,0.382,863.0,Legitimate_Awakening,ACC009198
1,16184.99,0.145,1254.5,Normal,ACC007209
22,11516.58,0.144,666.0,Normal,ACC001809
0,15681.44,0.264,743.0,Normal,ACC004559
692,344584.36,0.957,15.7,Dormant_Mule,ACC009962
26,18644.31,0.397,1177.3,Normal,ACC003004
6,4509.3,0.372,1181.7,Normal,ACC003726
12,6859.45,0.578,735.1,Normal,ACC006990
28,16357.24,0.294,864.2,Normal,ACC005755
26,8809.38,0.365,452.8,Normal,ACC008167
623,27488.24,0.392,2359.6,Legitimate_Awakening,ACC009054
1,5175.85,0.147,361.4,Normal,ACC000091
1,18249.32,0.252,713.6,Normal,ACC003078
18,5806.83,0.395,596.5,Normal,ACC000281
22,17795.21,0.327,1138.6,Normal,ACC005102
20,7739.71,0.174,787.6,Normal,ACC004854
528,58234.65,0.578,781.4,Legitimate_Awakening,ACC009034
8,1159.52,0.302,1155.9,Normal,ACC003820
28,5992.45,0.387,137.3,Normal,ACC006052
18,4412.69,0.597,238.6,Normal,ACC000716
3,8005.15,0.491,332.0,Normal,ACC005337
7,8725.08,0.313,1332.7,Normal,ACC005774
