tx_id,account_id,incoming_amount,outflow_ratio_24h,dwell_time_mins
TX05187,ACC_N1717,3680.74,0.122,782.1
TX07288,ACC_N1029,8738.34,0.23,1413.6
TX01049,ACC_A0332,38477.85,0.518,1946.9
TX06071,ACC_N2761,18645.32,0.26,1407.3
TX07026,ACC_N3347,14691.4,0.427,671.6
TX06754,ACC_N2158,522.06,0.429,325.3
TX00946,ACC_A0367,16964.77,0.301,337.7
TX01664,ACC_N1513,1731.03,0.55,313.4
TX08417,ACC_N0761,5912.16,0.594,523.5
TX08602,ACC_N0653,14040.75,0.155,704.4
TX07871,ACC_N0038,3627.3,0.347,299.2
TX01639,ACC_N0304,12434.17,0.435,312.4
TX00029,ACC_M038,316586.56,0.997,19.5
TX06765,ACC_N3173,5120.06,0.523,313.1
TX04202,ACC_N1108,14069.69,0.341,1006.3
TX09048,ACC_N2768,7259.49,0.353,776.1
TX02400,ACC_N0917,19736.5,0.469,564.6
TX06366,ACC_N3030,4016.94,0.578,196.6
TX08585,ACC_N3307,6220.44,0.11,835.6
TX05729,ACC_N2983,-5354.12,0.109,716.4
TX04828,ACC_N3336,11709.36,0.424,1425.5
TX01364,ACC_N1447,19688.61,0.236,1176.3
TX04205,ACC_N3435,19378.19,0.576,1256.3
TX03140,ACC_N2524,17768.41,0.371,142.4
TX05016,ACC_N1089,2699.54,0.284,161.0
TX01643,ACC_N1878,7321.02,0.13,1193.7
TX04937,ACC_N1546,5554.7,0.494,494.1
TX04412,ACC_N0783,15331.83,0.227,1380.4
TX08278,ACC_N2095,1641.97,0.422,1124.6
TX04854,ACC_N1475,9895.17,0.497,361.8
TX08548,ACC_N2779,7431.47,0.267,840.1
TX02769,ACC_N2888,4473.23,0.55,1189.2
TX08963,ACC_N2905,11212.61,0.173,1141.5
TX00281,ACC_A0287,15339.05,0.53,2245.4
TX06088,ACC_N0093,17664.84,0.45,504.0
TX01030,ACC_A0285,59401.18,0.391,2600.6
TX03633,ACC_N0094,8193.75,0.507,379.0
TX00439,ACC_A0210,42167.47,0.402,2376.3
TX02133,ACC_N1372,19065.87,0.576,596.6
TX00173,ACC_A0278,41548.02,0.559,560.4
TX06638,ACC_N0448,13165.88,0.397,1109.2
TX09632,ACC_N3317,17314.83,0.148,858.2
TX03594,ACC_N1490,14994.24,0.436,178.6
TX07561,ACC_N1338,7027.09,0.211,962.9
TX05976,ACC_N2537,18586.32,0.419,1243.2
TX07248,ACC_N2016,15102.14,0.306,1005.5
TX00274,ACC_A0394,30185.11,0.504,1372.8
TX07264,ACC_N2749,5394.24,0.403,1195.4
TX04448,ACC_N2472,2080.66,0.563,768.4
TX02860,ACC_N1639,4745.64,0.528,1177.6
TX05625,ACC_N2090,9960.07,0.151,254.0
TX02802,ACC_N1961,16365.37,0.124,815.5
TX09789,ACC_N0794,17163.66,0.557,571.9
TX09356,ACC_N2305,19234.39,0.499,1424.2
TX08995,ACC_N2525,5425.6,0.312,920.4
TX02729,ACC_N2591,19080.27,0.21,473.2
TX00109,ACC_M010,152959.17,0.979,40.8
TX05629,ACC_N0633,18656.85,0.24,629.0
TX07059,ACC_N2928,19582.28,0.353,156.4
TX01517,ACC_N0724,6989.23,0.405,540.1
TX00323,ACC_A0002,24077.87,0.641,1248.8
TX05357,ACC_N0671,19406.36,0.177,341.6
TX05554,ACC_N1485,10989.43,0.579,566.7
TX09779,ACC_N3235,10391.17,0.24,395.0
TX04801,ACC_N0254,4545.65,0.359,965.6
TX05125,ACC_N3103,11655.07,0.508,1330.7
TX01869,ACC_N2368,7185.36,0.259,221.0
TX02152,ACC_N1196,16354.72,0.532,272.1
TX00076,ACC_M058,378053.23,0.962,15.0
TX08883,ACC_N1969,11558.06,0.37,1010.6
TX04164,ACC_N1070,5669.24,0.464,1044.8
TX01717,ACC_N2860,13887.02,0.156,1295.3
TX06847,ACC_N3360,11472.06,0.411,1392.2
TX04670,ACC_N1340,16017.84,0.463,657.0
TX02651,ACC_N1543,19533.68,0.394,1232.7
TX02572,ACC_N2398,14456.85,0.401,1248.4
TX07887,ACC_N0083,13731.36,0.313,1307.4
TX02279,ACC_N0810,18654.47,0.549,914.2
TX07599,ACC_N0852,13808.61,0.169,866.2
TX04812,ACC_N0051,17395.33,0.129,1274.2
TX04747,ACC_N0631,6121.77,0.281,1011.7
TX05779,ACC_N3028,12595.63,0.189,1227.7
TX05893,ACC_N3188,17024.42,0.39,339.4
TX02197,ACC_N1953,2010.92,0.173,1264.7
TX04945,ACC_N0522,16192.16,0.554,1427.5
TX04495,ACC_N2599,5808.69,0.314,550.6
TX01058,ACC_A0217,23475.71,0.513,1895.8
TX09431,ACC_N1607,12098.14,0.498,685.9
TX08392,ACC_N3151,11992.84,0.155,1293.8
TX04949,ACC_N3493,6539.72,0.536,127.1
TX00451,ACC_A0375,40993.44,0.508,696.8
TX02643,ACC_N1982,15884.08,0.333,146.8
TX04413,ACC_N0097,3780.12,0.432,147.2
TX09678,ACC_N0646,9013.98,0.232,160.5
TX06883,ACC_N2322,7659.09,0.121,1053.0
TX03235,ACC_N2368,18847.16,0.188,1227.4
TX03600,ACC_N3356,1851.44,0.104,1359.6
TX01242,ACC_N3132,17429.3,0.533,677.0
TX00925,ACC_A0322,50254.02,0.627,2123.1
TX08180,ACC_N0941,6230.86,0.575,1293.5
TX04988,ACC_N2243,11988.55,0.504,433.2
TX03696,ACC_N0748,580.07,0.556,219.7
TX06129,ACC_N0642,4769.92,0.112,562.5
TX07369,ACC_N0743,13077.69,0.458,
TX02286,ACC_N2004,19066.81,0.508,383.6
TX00573,ACC_A0040,49691.01,0.42,622.8
TX00091,ACC_M009,103817.41,0.997,
TX01189,ACC_N2955,11123.06,0.15,1367.2
TX04421,ACC_N2239,6169.08,0.211,407.2
TX05926,ACC_N2962,4244.66,0.554,884.6
TX03850,ACC_N2888,595.25,0.4,740.8
TX04963,ACC_N2162,6201.62,0.542,804.8
TX09169,ACC_N2573,19521.05,0.41,1395.3
TX02902,ACC_N2173,16110.45,0.545,1220.9
TX06035,ACC_N1951,17224.38,0.157,636.9
TX09563,ACC_N3370,15618.31,0.354,898.4
TX08884,ACC_N1704,5236.28,0.338,619.6
TX03897,ACC_N1325,10476.02,0.414,514.7
TX07017,ACC_N0722,14141.12,0.491,674.2
TX02126,ACC_N3011,18912.07,0.566,466.8
TX08098,ACC_N1827,19005.03,0.248,287.5
TX04645,ACC_N3386,18625.36,0.542,1041.2
TX07733,ACC_N1192,18992.03,0.31,402.2
TX09107,ACC_N2582,9317.56,0.361,297.5
TX01930,ACC_N0619,7919.4,0.256,1201.5
TX04045,ACC_N0085,675.47,0.124,1260.1
TX06895,ACC_N0394,6571.12,0.511,808.3
TX01765,ACC_N2337,-6030.35,0.584,1127.8
TX06530,ACC_N3179,14343.15,0.483,443.4
TX09206,ACC_N0559,-18751.48,0.39,438.7
TX05782,ACC_N2422,15308.86,0.539,506.9
TX00254,ACC_A0191,32872.37,0.69,1018.4
TX07429,ACC_N3104,10644.15,0.492,1268.2
TX03084,ACC_N2405,14708.42,0.521,169.7
TX05630,ACC_N1931,19239.91,0.405,628.8
TX03829,ACC_N1467,5061.5,0.398,1294.1
TX00537,ACC_A0037,20140.71,0.301,2611.8
TX08262,ACC_N3305,16768.42,0.208,1254.6
TX02268,ACC_N1032,12385.36,0.152,785.5
TX09249,ACC_N0067,19722.02,0.265,969.8
TX06092,ACC_N1827,11907.36,0.441,1346.3
TX05990,ACC_N2879,17515.19,0.128,925.5
TX01514,ACC_N1095,6521.64,0.465,932.9
TX03715,ACC_N1639,14636.16,0.331,713.9
TX08568,ACC_N0658,1568.35,0.227,502.2
TX06428,ACC_N0027,9208.74,0.155,1016.8
TX04673,ACC_N2080,9850.63,0.101,164.6
TX08223,ACC_N0611,16669.31,0.388,705.7
TX08655,ACC_N1929,14813.08,0.545,1057.9
TX06056,ACC_N1009,1176.96,0.447,1302.0
TX03107,ACC_N2226,19631.4,0.374,1402.8
TX05862,ACC_N1398,1511.7,0.463,413.3
TX05541,ACC_N2248,5726.22,0.352,1376.0
TX00929,ACC_A0130,39885.07,0.312,1202.9
TX02027,ACC_N1628,8062.77,0.199,1244.9
TX03838,ACC_N2073,7058.01,0.54,994.2
TX02741,ACC_N3034,6341.35,0.128,1406.0
TX04808,ACC_N1884,3069.0,0.217,127.9
TX05856,ACC_N1245,8211.86,0.494,708.9
TX07921,ACC_N0849,18551.94,0.277,1369.1
TX01423,ACC_N0209,13219.36,0.332,497.6
TX09409,ACC_N2390,12517.75,0.393,183.4
TX03294,ACC_N0554,17494.03,0.381,643.0
TX01202,ACC_N0003,19516.01,0.15,419.0
TX05529,ACC_N0687,15944.87,0.378,800.1
TX09219,ACC_N1808,652.23,0.413,367.0
TX01263,ACC_N0933,17463.79,0.286,699.4
TX04491,ACC_N1527,14606.2,0.113,643.7
TX03498,ACC_N0371,6859.07,0.457,409.8
TX07292,ACC_N2297,16342.9,0.444,1017.3
TX03831,ACC_N3258,14445.17,0.117,126.0
TX03803,ACC_N1699,13573.71,0.245,589.0
TX09062,ACC_N2860,7127.97,0.358,1178.1
TX06740,ACC_N0344,10901.2,0.181,294.3
TX03028,ACC_N2420,14658.2,0.562,1178.2
TX05950,ACC_N2235,7783.63,0.315,1240.5
TX04750,ACC_N0191,6225.83,0.308,932.1
TX04876,ACC_N2154,13549.08,0.474,1100.9
TX03799,ACC_N3013,18735.59,0.593,1010.2
TX05218,ACC_N3313,4482.65,0.243,878.7
TX00485,ACC_A0368,30046.33,0.343,2466.3
TX08351,ACC_N2887,6609.81,0.487,1377.3
TX04745,ACC_N0990,18686.5,0.325,381.0
TX02468,ACC_N3411,9260.73,0.146,257.6
TX00278,ACC_A0076,37421.15,0.649,2184.7
TX09211,ACC_N1539,10458.91,0.478,149.4
TX07425,ACC_N1543,8780.31,0.107,1014.2
TX02360,ACC_N1635,13369.87,0.148,470.9
TX01807,ACC_N1584,19407.51,0.282,1071.3
TX08143,ACC_N0946,5837.16,0.175,1290.7
TX04096,ACC_N0947,18276.03,0.276,1203.6
TX07894,ACC_N3448,4986.68,0.553,1124.3
TX08854,ACC_N3411,13068.04,0.261,879.7
TX09847,ACC_N2340,17398.86,0.258,911.2
TX07983,ACC_N3029,17894.59,0.142,925.3
TX05021,ACC_N2738,7488.07,0.335,426.9
TX07531,ACC_N2506,10733.93,0.548,1216.9
TX04293,ACC_N1744,5108.56,0.593,556.3
TX03424,ACC_N2559,13861.43,0.268,587.3
TX01003,ACC_A0041,41478.57,0.305,2592.2
TX00577,ACC_A0321,23296.69,0.371,433.9
TX06291,ACC_N2990,19558.7,0.509,658.3
TX00615,ACC_A0305,50550.61,0.413,1912.6
TX05065,ACC_N1892,5327.51,0.413,552.6
TX05400,ACC_N2697,8688.8,0.343,202.3
TX05498,ACC_N1338,8428.81,0.398,250.6
TX00723,ACC_A0323,26710.5,0.545,1622.8
TX02458,ACC_N0699,11601.31,0.504,1331.9
TX02716,ACC_N3253,17797.33,0.251,725.8
TX09611,ACC_N1847,13839.38,0.314,615.8
TX08336,ACC_N2985,11766.38,0.101,397.9
TX09382,ACC_N0855,17136.46,0.476,479.3
TX03270,ACC_N1758,11529.27,0.345,1317.1
